OID_,kecamatan,n_clinic,n_hospital,n_kelurahan,tot_pop,town,province,MEAN,STD,n_medical,pop_per_med
1,Cakung,19,2,7,582983.000000000000000,Jakarta Timur,DKI Jakarta,1.568749785423279,0.886861343514261,21,27761.095238095236709
2,Cempaka Putih,6,4,3,101032.000000000000000,Jakarta Pusat,DKI Jakarta,0.325000286102295,0.082916223605484,10,10103.200000000000728
3,Cengkareng,61,2,6,583984.000000000000000,Jakarta Barat,DKI Jakarta,0.819999980926514,0.728423017426281,63,9269.587301587302136
4,Cilandak,43,6,5,227556.000000000000000,Jakarta Selatan,DKI Jakarta,0.250000000000000,0.184197173368455,49,4644.000000000000000
5,Cilincing,55,5,7,448598.000000000000000,Jakarta Utara,DKI Jakarta,1.444117714377010,1.535499823216614,60,7476.633333333333212
6,Cipayung,22,1,9,297359.000000000000000,Jakarta Timur,DKI Jakarta,1.637499888737997,0.338885975372082,23,12928.652173913043953
7,Ciracas,75,5,5,321473.000000000000000,Jakarta Timur,DKI Jakarta,1.486666107177735,0.307390773436322,80,4018.412499999999909
8,Duren Sawit,21,10,7,450117.000000000000000,Jakarta Timur,DKI Jakarta,0.738888634575738,0.333564490948251,31,14519.903225806450791
9,Gambir,18,3,6,98304.000000000000000,Jakarta Pusat,DKI Jakarta,0.500000000000000,0.451663794327273,21,4681.142857142856883
10,Grogol Petamburan,23,4,7,238423.000000000000000,Jakarta Barat,DKI Jakarta,0.155555725097656,0.437445151038227,27,8830.481481481481751
11,Jagakarsa,48,7,6,369212.000000000000000,Jakarta Selatan,DKI Jakarta,1.290475754510789,0.261688192424930,55,6712.945454545454595
12,Jatinegara,57,4,8,327733.000000000000000,Jakarta Timur,DKI Jakarta,0.609999656677246,0.181383464214172,61,5372.672131147541222
13,Johar Baru,12,1,4,144701.000000000000000,Jakarta Pusat,DKI Jakarta,0.199999809265137,0.099999427795410,13,11130.846153846154266
14,Kalideres,36,4,5,457276.000000000000000,Jakarta Barat,DKI Jakarta,1.640000000000000,1.248999659542213,40,11431.899999999999636
15,Kebayoran Baru,51,9,10,156300.000000000000000,Jakarta Selatan,DKI Jakarta,-0.033333248562283,0.115470371966243,60,2605.000000000000000
16,Kebayoran Lama,35,4,6,330915.000000000000000,Jakarta Selatan,DKI Jakarta,-0.174999952316284,0.143614074466075,39,8485.000000000000000
17,Kebon Jeruk,17,8,7,365441.000000000000000,Jakarta Barat,DKI Jakarta,0.364285605294364,0.353769751521337,25,14617.639999999999418
18,Kelapa Gading,11,2,3,144773.000000000000000,Jakarta Utara,DKI Jakarta,1.430769113393930,0.663770659527130,13,11136.384615384615245
19,Kemayoran,51,3,8,262464.000000000000000,Jakarta Pusat,DKI Jakarta,-0.016666094462077,0.323608022592667,54,4860.444444444444343
20,Kembangan,26,2,6,308975.000000000000000,Jakarta Barat,DKI Jakarta,0.726315950092516,0.508705442530491,28,11034.821428571429351
21,Kepulauan Seribu Selatan,5,0,3,12430.000000000000000,Kepulauan Seribu,DKI Jakarta,-2.299999872843424,0.711806145727864,5,2486.000000000000000
22,Kepulauan Seribu Utara,8,1,3,17158.000000000000000,Kepulauan Seribu,DKI Jakarta,-0.350000381469727,1.350000381469727,9,1906.444444444444343
23,Koja,18,5,6,351883.000000000000000,Jakarta Utara,DKI Jakarta,-1.745454094626687,0.912901143870700,23,15299.260869565217945
24,Kramat Jati,31,9,7,320317.000000000000000,Jakarta Timur,DKI Jakarta,1.133333630032010,0.105409322357517,40,8007.925000000000182
25,Makasar,17,3,5,225946.000000000000000,Jakarta Timur,DKI Jakarta,1.052941602819106,0.197387682143211,20,11297.299999999999272
26,Mampang Prapatan,12,1,5,158812.000000000000000,Jakarta Selatan,DKI Jakarta,0.314285550798689,0.124539944813094,13,12216.307692307691468
27,Matraman,34,2,6,191094.000000000000000,Jakarta Timur,DKI Jakarta,0.550000190734863,0.050000190734863,36,5308.166666666666970
28,Menteng,7,12,5,91170.000000000000000,Jakarta Pusat,DKI Jakarta,0.542857851300921,0.261081131394748,19,4798.421052631579187
29,Pademangan,39,2,3,170586.000000000000000,Jakarta Utara,DKI Jakarta,-0.187500238418579,0.615299697557214,41,4160.634146341463747
30,Palmerah,20,5,6,234035.000000000000000,Jakarta Barat,DKI Jakarta,0.200000047683716,0.141421221368801,25,9361.399999999999636
31,Pancoran,34,4,6,177502.000000000000000,Jakarta Selatan,DKI Jakarta,0.783333460489909,0.177169144727902,38,4671.105263157895024
32,Pasar Minggu,53,6,7,334004.000000000000000,Jakarta Selatan,DKI Jakarta,0.894444571601020,0.236812704059330,59,5661.084745762711464
33,Pasar Rebo,37,2,5,237861.000000000000000,Jakarta Timur,DKI Jakarta,1.418181679465554,0.184972668288071,39,6099.000000000000000
34,Penjaringan,46,7,5,326414.000000000000000,Jakarta Utara,DKI Jakarta,-0.196666336059570,0.871964602686571,53,6158.754716981132333
35,Pesanggrahan,45,4,5,267309.000000000000000,Jakarta Selatan,DKI Jakarta,-0.407142502920968,0.116277499201809,49,5455.285714285714675
36,Pulo Gadung,65,9,7,309816.000000000000000,Jakarta Timur,DKI Jakarta,0.300000104037198,0.233549609006365,74,4186.702702702702481
37,Sawah Besar,19,2,5,130995.000000000000000,Jakarta Pusat,DKI Jakarta,-0.466665903727214,0.974109775784665,21,6237.857142857143117
38,Senen,16,8,6,128272.000000000000000,Jakarta Pusat,DKI Jakarta,0.480000305175781,0.116618893970575,24,5344.666666666666970
39,Setiabudi,13,9,8,117059.000000000000000,Jakarta Selatan,DKI Jakarta,0.285714285714286,0.124539882302597,22,5320.863636363636033
40,Taman Sari,34,1,8,128130.000000000000000,Jakarta Barat,DKI Jakarta,-0.819999694824219,0.670522000241595,35,3660.857142857142662
41,Tambora,31,1,11,270066.000000000000000,Jakarta Barat,DKI Jakarta,-0.625000000000000,0.697763958826532,32,8439.562500000000000
42,Tanah Abang,42,4,7,179886.000000000000000,Jakarta Pusat,DKI Jakarta,0.142856597900391,0.184058768954627,46,3910.565217391304486
43,Tanjung Priok,59,10,7,422217.000000000000000,Jakarta Utara,DKI Jakarta,-0.715789393374794,0.992744018736760,69,6119.086956521739012
44,Tebet,24,3,7,241014.000000000000000,Jakarta Selatan,DKI Jakarta,0.628571374075753,0.205038101962957,27,8926.444444444445253
